word,positive,negative
love,1,0
hope,1,0
happy,1,0
joy,1,0
beautiful,1,0
wonderful,1,0
great,1,0
amazing,1,0
fantastic,1,0
perfect,1,0
good,1,0
excellent,1,0
brave,1,0
courage,1,0
kind,1,0
gentle,1,0
warm,1,0
tender,1,0
smile,1,0
laugh,1,0
funny,1,0
humor,1,0
friendly,1,0
hug,1,0
kiss,1,0
romantic,1,0
passion,1,0
excited,1,0
thrilled,1,0
delight,1,0
pleasure,1,0
cheer,1,0
celebrate,1,0
victory,1,0
triumph,1,0
success,1,0
win,1,0
save,1,0
free,1,0
freedom,1,0
peace,1,0
dream,1,0
miracle,1,0
faith,1,0
trust,1,0
loyal,1,0
honest,1,0
proud,1,0
grateful,1,0
bless,1,0
innocent,1,0
truth,1,0
forgive,1,0
mercy,1,0
protect,1,0
sweet,1,0
bright,1,0
shine,1,0
glorious,1,0
magnificent,1,0
splendid,1,0
grace,1,0
elegant,1,0
delicious,1,0
glad,1,0
cheerful,1,0
adorable,1,0
beloved,1,0
cherish,1,0
embrace,1,0
blessing,1,0
paradise,1,0
heaven,1,0
angel,1,0
hero,1,0
inspire,1,0
admire,1,0
respect,1,0
sympathy,1,0
compassion,1,0
generous,1,0
relief,1,0
calm,1,0
safe,1,0
safety,1,0
laughter,1,0
sunshine,1,0
reward,1,0
praise,1,0
soothe,1,0
amaze,1,0
astonish,1,0
dazzle,1,0
enchant,1,0
delightful,1,0
fascinate,1,0
gladness,1,0
glee,1,0
jolly,1,0
merry,1,0
mirth,1,0
rejoice,1,0
joyful,1,0
kindness,1,0
sweetness,1,0
warmth,1,0
affection,1,0
devotion,1,0
tenderness,1,0
care,1,0
caring,1,0
help,1,0
helpful,1,0
dreamer,1,0
resolve,1,0
determine,1,0
overcome,1,0
persist,1,0
endure,1,0
survive,1,0
confident,1,0
confidence,1,0
strong,1,0
strength,1,0
power,1,0
powerful,1,0
wise,1,0
wisdom,1,0
intelligent,1,0
clever,1,0
brilliant,1,0
genius,1,0
talent,1,0
skilled,1,0
capable,1,0
able,1,0
ability,1,0
achieve,1,0
achievement,1,0
accomplish,1,0
fulfill,1,0
succeed,1,0
prosper,1,0
wealth,1,0
fortune,1,0
lucky,1,0
fortunate,1,0
blessed,1,0
content,1,0
satisfy,1,0
satisfied,1,0
serene,1,0
tranquil,1,0
harmony,1,0
lover,1,0
lovely,1,0
darling,1,0
dear,1,0
precious,1,0
valuable,1,0
important,1,0
significant,1,0
meaningful,1,0
purpose,1,0
worthy,1,0
deserve,1,0
earn,1,0
merit,1,0
benefit,1,0
advantage,1,0
gain,1,0
profit,1,0
thrive,1,0
flourish,1,0
bloom,1,0
grow,1,0
growth,1,0
improve,1,0
progress,1,0
advance,1,0
develop,1,0
better,1,0
